epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.55,1.39881,3.85842,1.1577,0.89657,0.44231,0.73301,0.53881,1.39305,4.37437,1.21704,3.528e-05,3.528e-05,3.528e-05
2,438.621,1.289,3.67556,1.12642,0.92962,0.44231,0.73473,0.54059,1.38241,4.26163,1.20997,7.39175e-05,7.39175e-05,7.39175e-05
3,635.088,1.37951,3.61968,1.14772,0.92105,0.48077,0.73801,0.54452,1.37074,4.12464,1.19848,0.000109838,0.000109838,0.000109838
4,830.783,1.37043,3.75756,1.11126,0.92225,0.48718,0.74339,0.55024,1.35855,3.90838,1.18928,0.000143043,0.000143043,0.000143043
5,956.986,1.279,3.2813,1.06309,0.93087,0.48718,0.7444,0.5248,1.34995,3.76036,1.1858,0.000173531,0.000173531,0.000173531
6,1007.78,1.45594,3.13821,1.18333,0.93157,0.48718,0.74807,0.55446,1.33266,3.65948,1.17097,0.000201302,0.000201302,0.000201302
7,1056.17,1.23935,3.21289,1.05898,0.93007,0.48718,0.7496,0.58,1.31714,3.65939,1.16276,0.000226356,0.000226356,0.000226356
8,1100.03,1.34464,2.97833,1.09367,0.93864,0.48718,0.7506,0.53507,1.30368,3.68102,1.15492,0.000248695,0.000248695,0.000248695
9,1144.19,1.27899,2.76978,1.06037,0.94432,0.48718,0.75446,0.54056,1.28747,3.64898,1.1465,0.000268316,0.000268316,0.000268316
10,1188.91,1.33748,2.67844,1.09617,0.94718,0.48718,0.75694,0.57179,1.26893,3.61601,1.13704,0.000285221,0.000285221,0.000285221
11,1242.77,1.28737,2.60779,1.05697,0.95876,0.48718,0.76051,0.57437,1.24272,3.53507,1.12525,0.00029941,0.00029941,0.00029941
12,1293.23,1.29005,2.44431,1.04842,0.96249,0.48718,0.7744,0.58701,1.22903,3.46258,1.12086,0.000310881,0.000310881,0.000310881
13,1433.69,1.27412,2.43747,1.04585,0.96499,0.48718,0.78318,0.59498,1.20655,3.35769,1.11127,0.000319637,0.000319637,0.000319637
14,1482.45,1.30715,2.30564,1.08008,0.96499,0.48718,0.78318,0.59498,1.20655,3.35769,1.11127,0.000325676,0.000325676,0.000325676
15,1526.27,1.26028,2.73569,1.05828,0.9699,0.48718,0.81593,0.62741,1.1951,3.2667,1.10396,0.000316344,0.000316344,0.000316344
16,1569.53,1.2399,2.15837,1.07477,0.60932,0.7005,0.85675,0.66203,1.17615,3.19551,1.09829,0.00029694,0.00029694,0.00029694
17,1613.12,1.23245,2.3961,1.05999,0.62342,0.70495,0.8557,0.66138,1.15541,3.14782,1.09131,0.000277536,0.000277536,0.000277536
18,1657.28,1.17183,2.16278,1.07849,0.63347,0.71598,0.85524,0.66411,1.13605,3.08805,1.08389,0.000258132,0.000258132,0.000258132
19,1700.94,1.28192,2.28176,1.12542,0.64756,0.73154,0.85469,0.66395,1.12945,3.04649,1.08772,0.000238728,0.000238728,0.000238728
20,1744.69,1.20371,2.32537,1.0554,0.71358,0.7038,0.85447,0.66299,1.13679,2.98948,1.09605,0.000219324,0.000219324,0.000219324
21,1788.7,1.1719,2.50374,1.0242,0.71081,0.70981,0.85459,0.66359,1.15418,2.98002,1.10079,0.00019992,0.00019992,0.00019992
22,1831.98,1.23783,2.51013,1.05512,0.71081,0.70981,0.85459,0.66359,1.15418,2.98002,1.10079,0.000180516,0.000180516,0.000180516
23,1875.84,1.24572,2.48633,1.1088,0.58868,0.98718,0.85426,0.63897,1.16833,2.98207,1.11153,0.000161112,0.000161112,0.000161112
24,1919.21,1.24914,2.57969,1.11888,0.53058,0.98718,0.85414,0.63784,1.16656,2.97713,1.11101,0.000141708,0.000141708,0.000141708
25,1963.07,1.19256,2.38937,1.03022,0.55645,0.98718,0.8542,0.61944,1.16593,2.96618,1.11236,0.000122304,0.000122304,0.000122304
26,2006.49,1.1698,2.33391,1.03876,0.63379,0.98718,0.85431,0.63307,1.16068,2.97058,1.10607,0.0001029,0.0001029,0.0001029
27,2049.37,1.18685,2.48665,1.04657,0.65545,0.98628,0.85423,0.63664,1.15997,2.96493,1.10545,8.3496e-05,8.3496e-05,8.3496e-05
28,2092.34,1.19412,2.41628,1.05335,0.65862,0.97855,0.85423,0.64285,1.15953,2.95283,1.10172,6.4092e-05,6.4092e-05,6.4092e-05
29,2134.93,1.14046,2.56361,1.02519,0.6629,0.9753,0.85422,0.643,1.156,2.9426,1.10249,4.4688e-05,4.4688e-05,4.4688e-05
30,2177.91,1.17096,2.40973,1.03782,0.6629,0.9753,0.85422,0.643,1.156,2.9426,1.10249,2.5284e-05,2.5284e-05,2.5284e-05
